,a1,a2,a1_coefficients,a2_coefficients,a3_coefficient,c1_coefficients,c2_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,JV_default_PCE
114,217.0,0.0,1.0,0.0,0.0,3.0,0.0,215.84,0.0,0.0,30.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,60,100,5.0,10.0,0
115,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,80.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,150,0,15.0,0.0,0
116,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,80.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,150,0,15.0,0.0,0
117,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
118,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
119,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,253.8,0.0,1787.74,100,150,10.0,0.5,0
120,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,253.8,0.0,1787.74,100,150,10.0,0.5,0
121,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,253.8,0.0,1787.74,100,150,10.0,0.5,0
122,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,253.8,0.0,1787.74,100,150,10.0,0.5,0
123,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,253.8,0.0,1787.74,100,150,10.0,0.5,0
124,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,10.0,0.0,253.8,266.0,0.0,18.0,253.8,0.0,1787.74,100,150,10.0,0.5,0
